Diabetes_Percentage_2008,Diabetes_Percentage_2013,Obesity_Percentage_2012,Recreation_Facilities_2011,Recreation_Facilities_2016,Recreation_Facilities_per_1000_2011,Recreation_Facilities_per_1000_2016,Recreation_Facilities_Percent_Change_2011_16,Recreation_Facilities_Per_1000_Pop_Percent_Change_2011_16,Obesity_Percentage_2017
0.7227879672271501,0.7098819245141641,1.3237012004707462,-0.1814043613217116,-0.1300037585562554,0.0152807108296361,0.5044046821540676,0.98349719401525,1.021137978799885,0.363
-0.0550604114443622,-0.3365025538859206,1.3237012004707462,0.2230079150472252,0.2756234550198307,0.1956513175043678,0.4075685026003751,0.6069262509018263,0.3700969333523121,0.363
1.79232948790048,2.883141995037417,1.3237012004707462,-0.248806407383201,-0.2922546439866899,0.0242027515455342,-0.92722681666886,-2.02907035089214,-2.045192730111952,0.363
0.5769413962262414,1.434301948021916,1.3237012004707462,-0.3162084534446905,-0.2652128297482842,-0.9667183583557946,-0.3444658340340193,-4.459495802126219e-18,-2.556887365587389e-18,0.363
0.7227879672271501,1.1525830499911225,1.3237012004707462,-0.2151053843524563,-0.1840873870330669,-0.2604536004638448,-0.0106762398396269,0.6487674667966232,0.6843354445508998,0.363
2.4243312955710827,3.3660886773759184,1.3237012004707462,-0.3162084534446905,-0.2922546439866899,-0.9667183583557946,-0.92722681666886,-0.0206919876205465,0.0019534008903047,0.363
2.521562342905022,2.601423097006625,1.3237012004707462,-0.3162084534446905,-0.2652128297482842,-0.9667183583557946,-0.2665890356538813,-4.459495802126219e-18,-2.556887365587389e-18,0.363
2.2298692009032046,1.4745475048834564,1.3237012004707462,-0.0466002691987326,-0.1029619443178497,-0.0463063154197414,-0.1242400507413348,-0.2717392830294957,-0.2102412719449638,0.363
3.007717579574717,2.078230857806582,1.3237012004707462,-0.3162084534446905,-0.2922546439866899,-0.9667183583557946,-0.92722681666886,-0.0206919876205465,0.0019534008903047,0.363
1.79232948790048,0.8306185950987894,1.3237012004707462,-0.2825074304139458,-0.2652128297482842,-0.4453724981366502,-0.4153270729909484,-0.0206919876205465,0.0199888806623588,0.363
0.1394016832235153,0.8306185950987894,1.3237012004707462,-0.248806407383201,-0.2381710155098784,-0.3463487794126113,-0.3253738576003005,-0.0206919876205465,-0.0046789228781697,0.363
2.327100248237144,2.762405324452793,1.3237012004707462,-0.3162084534446905,-0.2922546439866899,-0.9667183583557946,-0.92722681666886,-0.0206919876205465,0.0019534008903047,0.363
